Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R12,R_Small,R_0402_1005Metric,20.491137,19.943464,180.0,top
R13,R_Small,R_0402_1005Metric,21.091137,16.143464,180.0,top
R14,R_Small,R_0402_1005Metric,19.566137,12.668464,0.0,top
R15,R_Small,R_0402_1005Metric,16.291137,11.143464,0.0,top
R16,R_Small,R_0402_1005Metric,12.791137,12.468464,0.0,top
R17,R_Small,R_0402_1005Metric,10.74,16.03,0.0,top
R18,R_Small,R_0402_1005Metric,11.5,19.94,180.0,top
